school_name,school_description,school_latitude,school_longtitude,school_link
University of Central Lancashire,"Established:  1828 The University of Central Lancashire (abbreviated UCLan) is a public university based in Preston, Lancashire, England. It has its roots in The Institution For The Diffusion Of Useful Knowledge founded in 1828. Subsequently known as Harris Art College, then Preston Polytechnic, then Lancashire Polytechnic. The university is the eighth largest in the UK in terms of student numbers.
UCLan was rated as ‘world-leading’ or ‘internationally excellent’ in 17 subject areas in the 2008 RAE Rankings. It is ranked No1 in Linguistics and Journalism, above Oxford University.
UCLan was also ranked 7th for Teaching Quality in the UK (QAA report) and Top 10 for student satisfaction amongst UK universities in a number of subjects, including Journalism, Sports Science and Engineering.",53.76,-2.71,http://www.uclan.ac.uk
Bath Spa University,"Established:  2005 (with history from 1852) Bath Spa University is based in, and around, Bath, England. The institution was previously known as Bath College of Higher Education, and later Bath Spa University College. It gained full university status in August 2005. It is the UK's sixth biggest provider of Teacher Education. In 2006, it was voted the 5th best modern university in the UK by The Sunday Times University Guide.
Bath Spa University is home to over 7,500 students from over 60 countries. It has formed partnerships with businesses, organisations and institutions in every corner of the globe, giving students a valuable insight into the world beyond education.
You will see Bath Spa students at international conferences, tours and events, from the Edinburgh Fringe Festival to the Canadian ‘International Next Way’. The University's graduates leave Bath Spa (as global citizens) with ambition, drive and focus.
International First Year: Successful completion of Year 12 (Senior Middle School / Upper Middle Secondary School Graduation Certificate) with a 70% average or better. Exceptional candidates having completed Year 11 (Upper Middle 2) with an 80% average or better will also be considered.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.bathspa.ac.ukEmail:  international@bathspa.ac.ukPhone:  +44 (0)1225 875777",51.38,-2.44,http://www.bathspa.ac.uk
Bishop Grosseteste University,"Established:  1862 Bishop Grosseteste University is a public university in Lincoln, England. It was granted full university status on 3 December 2012, having been established in 1862 as a teacher training college for the Diocese of Lincoln, it only gained full degree awarding powers in 2006.
It attracts mature and local students, with 27% of the undergraduate body aged 21 or above at the start of their course, and 50% from a 30 mile radius. The courses often include a vocational element and many, but not all, engage with teaching and education subjects – of four foundation and nine honours degrees, eight include education-related studies or teaching.
 ",53.24,-0.54,http://www.bishopg.ac.uk/
University of Sunderland,"Established:  1901 The University of Sunderland is a university located in Sunderland in the North East of England. The university has 17,101 students, including 2,695 international students from 118 countries.
In 2012, the University of Sunderland opened a London Campus offering courses in nursing, business, tourism and hospitality, as well as accounting and financial management.
Sunderland was one of six universities to be short-listed for 'University of the Year' in the Times Higher Education Supplement Awards 2012. It was also highlighted for its 'Outstanding Student Experience' in the 2010 Times Higher Education awards.",54.9,-1.4,http://www.sunderland.ac.uk
University of Northampton,"Established:  2005 In 2005 University College Northampton was awarded university title and full research degree awarding powers becoming The University of Northampton. Set in the heart of England, in the historical and culturally rich county of Northamptonshire, the University of Northampton is a dynamic, modern institution that caters to all educational needs and interests. 
Currently the only university in Northamptonshire, the University welcomes over 1000 international students from 100 different countries every year to study the traditional arts, humanities and sciences as well as modern subject offerings such as entrepreneurship, product design and advertising. The University is also globally renowned in subject such as Wastes Management, Leather Technology and Fashion. ",52.231316,-0.887023,http://www.northampton.ac.uk
Abertay University,"Established:  1888 Abertay University is situated in the centre of Dundee. The campus buildings include the historic Old College buildings of Dundee Business School, the Bernard King Library, scenes of crime teaching facilities, specialist Ethical Hacking labs designed for research into computer hacking and misuse, and modern computer games labs in the UK Centre for Excellence in Computer Games Education.
Abertay was the first university in the world to offer a ""computer games"" degree in 1997. Today it remains a leader in the field with two major new developments - the creation of the UK's first Centre for Excellence in Computer Games Education, and a business support programme.
The University runs Ethical Hacking degree programmes, both undergraduate and postgraduate. Recently spending substantial amounts of money upgrading its specialist laboratories, Abertay is at the forefront for research into computer security and countermeasure development.
The findings of the latest Research Assessment Exercise (RAE 2008) showed that Abertay is the most highly rated modern university in Scotland for research in environmental sciences, law and psychology.",56.46,-2.97,http://www.abertay.ac.uk
"St Mary's University, Twickenham","Established:  1850 St Mary’s is a strong and welcoming community of students and staff and it is committed to the highest standards in teaching across the wide range of undergraduate and postgraduate courses we offer. In addition, it has a vibrant research culture and environment. Founded on Catholic values, it is an inclusive institution with a mission to provide students with an excellent education. St Mary’s lays the foundations for a successful life and career, while undertaking world-leading research and contributing to the community and wider society. 
Founded in 1850, St Mary's University has a long and distinguished history within Higher Education.  From its original intake of just six students, St Mary’s has grown to around 6,000 undergraduate and postgraduate students across four academic schools and offers a wide range of degree programmes. 
Red Level Course: Minimum of 104 points of which 72 must include at least a B and a C grade including any specific subjects mentioned on the course pages.
Blue Level Course: Minimum of 112 points of which 80 must include at least two B grades including any specific subjects mentioned on the course pages.
Remaining points can be made up of A Level and AS Grades including General Studies.Postgraduate:  Applicants to Masters programmes are normally required to have at least a second class honours degree from a UK university or equivalent qualification and/or professional interests and experience relevant to their chosen course, together with appropriate references. For additional entry requirements specific to individual courses, please see the course webpages. 
Candidates who do not have a first degree or relevant experience, but who nonetheless are considered to have the potential to successfully undertake Masters level study, may be required to register for an initial module or undertake a level three module to assess their suitability.Contact the UniWebsite:  www.stmarys.ac.uk Email:  international@stmarys.ac.ukPhone:  +44 (0)20 8240 4192",51.44,-0.4,http://www.stmarys.ac.uk 
University of the West of Scotland,"Established:  2007 The University of the West of Scotland is a university operating from four campuses in south-western Scotland, in the towns of Paisley, Hamilton, Dumfries and Ayr. The present institution dates from August 2007, following the merger of the University of Paisley with Bell College, Hamilton. It can trace its roots to the late 19th century, and has undergone numerous name changes and mergers over the last century, reflecting its gradual expansion throughout the region.
Holding a regional reputation for vocational undergraduate and post-graduate courses the University currently has over 18,000 students, with approximately 1300 staff, spread across eight schools of learning.",55.84,-4.43,http://www.uws.ac.uk
University of the West of Scotland,"Established:  2007 The University of the West of Scotland is a university operating from four campuses in south-western Scotland, in the towns of Paisley, Hamilton, Dumfries and Ayr. The present institution dates from August 2007, following the merger of the University of Paisley with Bell College, Hamilton. It can trace its roots to the late 19th century, and has undergone numerous name changes and mergers over the last century, reflecting its gradual expansion throughout the region.
Holding a regional reputation for vocational undergraduate and post-graduate courses the University currently has over 18,000 students, with approximately 1300 staff, spread across eight schools of learning.",55.84,-4.43,http://www.uws.ac.uk
"Queen Margaret University, Edinburgh","Established:  1875 Queen Margaret University offers students a small and friendly community environment where its thoroughly relevant teaching and research are designed to meet the changing needs of students, employers and society.
The University has widely recognised expertise in health & rehabilitation, sustainable business and creativity & culture.",55.93,-3.08,http://www.qmced.ac.uk
University of Worcester,"Established:  1946 The University of Worcester focuses on quality teaching and research in education, nursing, social care, sports, arts, sciences and business.
The University of Worcester is the UK's fastest growing University. Applications increased by 10.6% in 2009 and by 100% since 2004. The University has consistently recorded the largest increases in applications of any UK University for 7 years in a row.",52.2,-2.24,http://www.worcester.ac.uk
"University of Wales, Trinity Saint David","Established:  2010 The University came into existence through the merger of the two oldest higher education institutions in Wales, the University of Wales, Lampeter (UWL) and Trinity University College (TUC) in 2010. In 2011, it was announced that the University of Wales will also be merged into Trinity Saint David. On 1 August 2013 the University merged with Swansea Metropolitan University.
The University is made up of the Faculty of Humanities (primarily based within the Lampeter campus), the Faculty of Education and Training, and the Faculty of Arts and Social Studies (both primarily based within the Carmarthen campus) each providing courses such as theology, religious studies, philosophy, classics, anthropology, archaeology, ancient history, English, history, drama, film studies, business management, IT, education studies and Initial Teacher Education and Training.",0,0,http://www.uwtsd.ac.uk/
Birmingham City University,"Established:  1992 Birmingham City University is a post-1992 British university in the city of Birmingham, England. It is the second largest of three universities in the city, the other two being the Aston University and University of Birmingham. With around 22,000 students from 80 countries, Birmingham City University is a large, diverse and increasingly popular place to study.
The university has seven campuses serving six faculties, and focus on practical skills and professional relevance is producing some of the country’s most employable graduates, with the Sunday Times University Guide 2013 ranking us in the UK top 30 for the proportion of our students entering graduate-level jobs.
Birmingham City University is the West Midlands' largest provider of higher education for undergraduate study, and its portfolio of part-time courses is among the biggest in the UK. The Complete University Guide ranked us as a top 10 UK university for spending on facilities in 2012 and 2013.The university puts £270 million into the regional economy and support thousands of jobs in the area. It is investing £260 million in our estate, including a major expansion of our city centre campus at Eastside, providing students with an enviable range of facilities. 
 
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.bcu.ac.ukEmail:  bcuinternational@enquiries.uk.comPhone:  +44 (0)121 331 6714",52.52,-1.9,http://www.bcu.ac.uk
University of St Mark & St John,"Established:  1973 The University of St Mark & St John is based in the coastal city of Plymouth, England. It is on the northern edge of the city and close to the south-west coast, Dartmoor National Park and the neighbouring county of Cornwall.
St Mark and St John has a single campus, a long heritage, is small in size and has a strong reputation for its range of specialisms including education, journalism and creative arts, language and linguistics, and sport.",50.42,-4.11,http://www.marjon.ac.uk/
University of Westminster,"Established:  1838 The University of Westminster offers a vibrant learning environment in the heart of London, attracting more than 20,000 students from over 165 nations. The University offers practice-based courses and its distinguished 175-year history has meant that it leads the way in many areas of research, particularly politics, media, art and design, architecture and biomedical sciences. The University has strong links with industry and professional organisations in London and across the UK. Programmes are taught by leading practitioners and offer a range of internship opportunities and professional accreditation, providing students with the skills needed for successful careers. Westminster offers a wide range of Bachelors, Masters and Research courses delivered across six faculties and schools:
· Architecture and the Built Environment 
· Science and Technology 
· Social Sciences and Humanities 
· Westminster Business School 
· Westminster Law School 
· Westminster School of Media, Arts and Design",51.52,-0.15,http://www.wmin.ac.uk
London South Bank University,"Established:  1892 London South Bank University (LSBU) is a public university located in Southwark, London, United Kingdom. It has over 25,000 students and 1,700 staff, and is based in the London Borough of Southwark, near the South Bank of the River Thames, from which it takes its name.
Founded from charitable donations in 1892 as the ""Borough Polytechnic Institute"", it absorbed several other local colleges in the 1970s and 1990s, and achieved university status in 1992. LSBU is a post-1992 or new university.",51.5,-0.1,http://www.sbu.ac.uk
University of Bedfordshire,"Established:  1993 The University of Bedfordshire is based in Bedford and Luton, the two largest towns in Bedfordshire, England. A campus in Aylesbury, Buckinghamshire is for students studying Nursing and Midwifery. A further campus in Milton Keynes, Buckinghamshire, teaches business studies, electronic engineering, and telecommunications.
The University of Bedfordshire was presented with the Queen’s Anniversary Prize for Further and Higher Education in 2013 and the Queen’s Award for Enterprise: International Trade 2011, which very rare for any UK university in the sector.
Bedfordshire is a large, modern university with six campuses north of London, which is home to approximately 23,000 students. Each year over 4000 international and EU students choose Bedfordshire as their study destination, and 92% of graduates are in work or further study within six months of graduation. The University offers generous financial support to International students. Our multi-million-pound investment provides students with state of the art modern facilities and our main Luton campus is just 30 minutes from Central London by train. Bedfordshire is an award-winning institution, which is home to world-leading research. 
The University entered the Research Assessment Exercise in 2008 and achieved a GPA of 2.087 with 34.7% world-leading or internationally excellent. The top units of assessment were in Communication, Cultural and Media Studies, Social Work Social Policy and Administration and English Language and Literature.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.beds.ac.ukEmail:  teamc@beds.ac.ukPhone:  +44 (0)1582 489742",51.88,-0.41,http://www.beds.ac.uk
University of Greenwich,"Established:  1890 The University of Greenwich is a British university with campuses in south-east London and north Kent. These include the Greenwich Campus, located in the grounds of the Old Royal Naval College in the Royal Borough of Greenwich, London, England. It is the largest university in London by student numbers and the greenest in the UK as assessed by The People & Planet Green League.
The University is constantly ranked #1 in terms of student satisfaction across all 20 listed universities in London - with it topping lists of 2010, 2011, 2012 and 2013 consecutively. It hasn't left the top five since its entry in 2010.
The University’s wide range of subjects include architecture, business, computing, education, engineering, humanities, natural sciences, pharmacy and social sciences. It has a strong research focus and well-established links to the scientific community.",51.48,0,http://www.gre.ac.uk
Glasgow Caledonian University,"Established:  1875 Glasgow Caledonian University is a public university in Glasgow, Scotland. With a history traceable to 1875, the University was formally instituted in 1993 by an Act of Parliament that created Glasgow’s third university, and what would become one of Scotland’s largest universities with more than 18,000 students.
GCU is regularly ranked among the UK's top 10 modern universities, and is widely regarded as one of the UK's most dynamic and innovative universities. In 2010, less than 20 years after its formation, Caledonian was ranked among the world’s top universities, the first and only modern Scottish university to achieve this global standing. In 2013, the Glasgow Caledonian University was ranked 2nd in the UK for international student satisfaction.
Prospectus: 2015 Undergraduate Prospectus",55.87,-4.25,http://www.gcu.ac.uk
Canterbury Christ Church University,"Established:  1962 Canterbury Christ Church University (CCCU) is a new university in Canterbury, Kent, England. Founded as a Church of England college for teaching training in 1962, it has grown to full university status and celebrated its 50th anniversary in 2012.
The university has developed rapidly since its inception in 1962 and now has nearly 20,000 students based at campuses across Kent, in Canterbury, Broadstairs, Folkestone, Medway and Tunbridge Wells. As well as being the largest centre of higher education in Kent for the public services – notably teacher training, health and social care and the emergency services – the university also offers academic and professional programmes, including credit-bearing higher education entry certificates, doctorates and research degrees.
Policing and law courses have also been delivered both for UK and overseas law enforcement agencies. ",51.28,1.09,http://www.canterbury.ac.uk
University of Brighton,"Established:  1859 The University of Brighton is a UK university of over 21,000 students and 2,500 staff based on four campuses in Brighton, Eastbourne and Hastings on the south coast of England. Its roots can be traced back to 1859 when the Brighton School of Art was opened in the Brighton Royal Pavilion.
The university focuses on professional education, with the majority of degrees awarded also leading to professional qualifications in areas including Pharmacy, Engineering and Information Technology.",50.84,-0.12,http://www.brighton.ac.uk
Anglia Ruskin University,"Established:  1858 Anglia Ruskin University is a public university in the East of England, United Kingdom, with a total student population of around 31,500. Its campuses are located in Cambridge, Chelmsford and Peterborough, England, UK.
There are four Faculties of study at Anglia Ruskin University:
Lord Ashcroft International Business SchoolFaculty of Arts, Law & Social SciencesFaculty of Health, Social Care & EducationFaculty of Science & Technology (RAE rated as Internationally Excellent)",52.2,0.13,http://www.anglia.ac.uk
University of East London,"Established:  1920 The University of East London (UEL) is a public university in the London Borough of Newham, East London, England, based at three campuses in Stratford and Docklands, following the opening of University Square Stratford in September 2013. The university can trace its roots back to 1892, gaining university status in 1992. It has more than 28,000 students from 120 countries.",51.51,0.07,http://www.uel.ac.uk
University of the Arts London,"Established:  1966 University of the Arts London is a public research university in London, England. It is the largest university in Europe to specialise in art, design, fashion and the performing arts. 
It is a collegiate university with six constituent colleges: Camberwell College of Arts, Central Saint Martins, Chelsea College of Art and Design, the London College of Communication, the London College of Fashion and Wimbledon College of Art. From 1986 to 2004 it was known as the London Institute.",51.52,-0.16,http://www.arts.ac.uk/
Edinburgh Napier University,"Established:  1964 Edinburgh Napier University is a public university in Edinburgh, Scotland. It has over 17,000 students, including nearly 5,000 international students, from more than 100 nations worldwide.
Edinburgh Napier offers subjects including engineering, computing, nursing and midwifery, science, business courses, timber engineering and transport studies. It offers a range of creative courses, including film, graphic design, acting, publishing and product design.
Edinburgh Napier's Business School has achieved Chartered Management Institute (CMI) certification. The Business School runs programmes in conjunction with its many overseas partners including, most recently, the Master of Science in International Hospitality and Tourism Management, with HTMi, the Hotel and Tourism Management Institute Switzerland.",55.92,-3.23,http://www.napier.ac.uk
Kingston University,"Established:  1899 Location: Kingston upon Thames, London
Campus: Campuses are located in Kingston and Roehampton.
International Student Scholarship Available: 
Loyalty bursaries
Undergraduate scholarships
GREAT - Kingston University Scholarships India
Postgraduate scholarships
Average Annual Living Costs: £7500
Kingston University is a public research university located in Kingston upon Thames, southwest London, United Kingdom. It was originally founded in 1899 and became a university in 1992.
Campuses are located in Kingston and Roehampton. There is a wide range of undergraduate and postgraduate work spread across five faculties, as well as some further education provisions.
Academic staff at Kingston University are divided into five faculties. Each faculty offers undergraduate and postgraduate courses, plus undertakes research in related areas:
Faculty of Art, Design and ArchitectureFaculty of Arts and Social SciencesFaculty of Business and LawFaculty of Health, Social Care and EducationFaculty of Science, Engineering and Computing",51.43,-0.26,site link not present
York St John University,"Established:  1841 York St John University is an outstanding university, known for its academic excellence and responsive nature, always putting the student at the heart of everything it does. The magnificent York St John campus is located in the centre of the historic City of York. The eleven-acre site on Lord Mayor’s Walk is in a stunning setting facing the world-famous York Minster across the city walls.
The award winning campus has undergone a £90 million transformation over the past 10 years to ensure students benefit from the right environment in which to study and live. Originally built around a quadrangle, newer buildings including De Grey Court and the Fountains Learning Centre which houses the library, IT facilities and a modern lecture theatre. The Foss Building houses York St John's sports hall, a physiology laboratory, a biomechanics lab, a psychology lab, a fitness suite, physiotherapy labs and general teaching rooms.",53.97,-1.08,http://www.yorksj.ac.uk/
University of South Wales,"Established:  2013 The University of South Wales is a university in Wales. It was formed on 11 April 2013 from the merger of the University of Glamorgan and the University of Wales, Newport.
The university has a film school, animation facilities, broadcasting studios, a photography school, a reputation for theatre design, poets, scriptwriters and authors as well as the national music and drama conservatoire, the Royal Welsh College of Music and Drama, as a wholly owned subsidiary. It offers a range of qualifications from further education to degrees to PhD study. As a Post 92 University it delivers a range of STEM subjects, from engineering and mathematics to computing and surveying.",51.48,-3.17,http://www.southwales.ac.uk/
Newman University,"Established:  1968 Newman University is a university founded in 1968 in the suburb of Bartley Green in Birmingham, England. It was called Newman College of Higher Education until January 2008, after it gained degree-granting powers in September 2007 becoming Newman University College. In 2013 it was awarded full university title and became Newman University. The University is named after the 19th century religious figure Cardinal Newman, who had strong links with the city of Birmingham, through being an Oratorian and a member of the Birmingham Oratory.
Newman remains influenced by the teachings on university education by Blessed Cardinal John Henry Newman. His view of a university is of a scholarly community wherein the focus is on training the mind to think rather than just diffusion of knowledge.",52.43,-2,http://www.newman.ac.uk/
"Birkbeck, University of London","Established:  1823 Birkbeck, University of London has excellent research reputations in subjects such as English, Economics, Statistics, History, History of Art, Philosophy, Psychology, Spanish and Science. It also offers many continuing education courses leading to certificates and diplomas, foundation degrees as well as other short courses.
Birkbeck counts four Nobel prize winners and a British Prime Minister among its former students and faculty.
Birkbeck's main building is located between Malet Street and Woburn Square in Bloomsbury, with a number of buildings on nearby streets. The School of Arts, including the Department of English & Humanities, is housed in Virginia Woolf's former Gordon Square residence in Bloomsbury. Other notable former residents of this house include Leslie Stephen, Vanessa Bell, John Maynard Keynes and Lydia Lopokova.",51.52,0.13,http://www.bbk.ac.uk/
Leeds Beckett University,"Established:  1824 Leeds Metropolitan University, simply referred to as 'Leeds Met' is a university located in Leeds, West Yorkshire with campuses in the city centre and in Headingley. It gained university status in 1992; before this date it was the Leeds Polytechnic. The number of students is listed by the HESA 2008/09 data as the 15th largest in Britain.
From September 2014, the institution will adopt the name of Leeds Beckett University.",53.8,-1.55,http://www.lmu.ac.uk
University of Bolton,"Established:  2004 The University of Bolton (formerly Bolton Institute of Higher Education) is a public university in Bolton, Greater Manchester, England.
It has approximately 14,000 students across all sites and courses, with 700 academic and professional staff. Around 70% of its students come from Bolton and the North West region.
Bolton itself is a friendly town close to the big cities of Manchester and Liverpool. There are currently 192 Academic staff members of whom 130 hold Ph.D. degrees. This represents 67.7% of Ph.D holders amongst the Academic staff.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.bolton.ac.ukEmail:  international@bolton.ac.ukPhone:  +44 (0)1204 900600",53.57,-2.44,http://www.bolton.ac.uk
University of Cumbria,"Established:  1822 The University of Cumbria (UoC) is a university in Cumbria. Its headquarters are in Carlisle. Other major campuses are at Lancaster, Ambleside, Barrow-in-Furness, Penrith and London. The University's roots extend back to the Society for the Encouragement of Fine Arts established in 1822 and Charlotte Mason teacher training college in the 1890s.
The university is based upon the idea of a ""distributed learning network"", so that teaching takes place both at the university's main campuses, and at remote colleges of further education around Cumbria, a rural county that includes the Lake District.",54.89,-2.92,http://www.cumbria.ac.uk
University of the Highlands and Islands,"Established:  1992 The University of the Highlands and Islands gives you the chance to do something different, something special. It offers a diverse range of courses, many taking advantage of the region's unique environment, landscape and culture.
The University of the Highlands and Islands has a number of undergraduate, postgraduate and research programmes, most of which can be studied at a range of locations across the area. There are 7,500 undergraduate students enrolled directly and 33,000 further education students. There are 50 learning centres spread around the Highlands and Islands, Moray and Perthshire.",57.47,-4.23,http://www.uhi.ac.uk/en
Buckinghamshire New University,"Established:  1893 Buckinghamshire New University is a public university located in High Wycombe, Buckinghamshire, England, and in Uxbridge. The institution dates from 1893 when it was founded as the School of Science and Art. It was a university college from 1999 until 2007 when it announced that its application for university status had been accepted.",51.63,-0.75,http://bucks.ac.uk/
Glyndwr University,"Established:  1887 Glyndŵr University is a British university with campuses at Wrexham, Northop and St Asaph in north-east Wales and London. It offers both undergraduate and postgraduate degrees, as well as professional courses. The University has approximately 9,000 students.
The University is named after the medieval Welsh prince Owain Glyndŵr, who first suggested the establishment of universities throughout Wales in the early 15th century.
Glyndŵr University runs 150 programmes, offering foundation, HND/Cs, honours and master's degrees and doctorates over a broad variety of qualifications. In addition to professional courses such as nursing and social work, Glyndŵr University offers a range of postgraduate and undergraduate qualifications in Art & Design, Engineering, Science, Humanities, Health and Social Care, Criminology and Criminal Justice, Sports Sciences, Computing and Communication Technology, Music technology and Business. Computing is arguably the most successful department at the university. It has been ranked 64 in the UK by the Good University Guide 2014.",53.05,-3,http://www.glyndwr.ac.uk/
London Metropolitan University,"Established:  1848 London Metropolitan University, commonly known as London Met, is a public research university located in London, United Kingdom. It was established on 1 August 2002 by the amalgamation of the University of North London and London Guildhall University. The University has campuses in the City of London and in the London Borough of Islington, with a museum, as well as archives and libraries.",51.52,-0.09,http://www.londonmet.ac.uk
University of Suffolk,"Established:  2007 University Campus Suffolk (UCS) is an educational institution located in the English county of Suffolk. UCS is a collaboration between the University of Essex and the University of East Anglia which sponsor its formation and validate its degrees. UCS accepted its first students in September 2007. Until then Suffolk was one of only four counties in England which did not have a University campus. 
UCS operates at six sites with its central hub in Ipswich. Other sites are centred on pre-existing Higher Education centres in Ipswich, Lowestoft,Bury St. Edmunds, and Great Yarmouth in Norfolk. 
UCS operates two academic faculties and in 2014 had around 5,200 students. Some 30% of the student body are classed as mature students and 68% of UCS students are female.",52.05,1.1,http://www.ucs.ac.uk/
University of Law,"Established:  1962 The University of Law is the largest postgraduate legal education provider in Europe and is also a major provider of Continuing Professional Development courses for solicitors and barristers.
The Open University's courses in Law (including the LL.B by distance learning) are offered in association with The University of Law.
For over 100 years, the University of Law has been helping lawyers achieve their professional ambitions.
Until the transfer of its training business to The University of Law Ltd, The College of Law was in the top 100 of UK charities ranked by expenditure. The charity is now called the Legal Education Foundation.
The University of Law is a recognised body, an institution which has its own degree awarding powers under British law.
Various student surveys and legal fora show that The University of Law is among the top LPC providers in the UK along with BPP Law School and Kaplan Law School. This may have been attributed to the number of applicants the three law schools receive annually, consistent top ratings from the Solicitors Regulation Authority and their partnerships with law firms.",51.52,-0.13,http://www.law.ac.uk/
Coventry University London Campus,"Established:  2010 Our expertise in business and professions and our in-depth understanding of what today’s employers are looking for offers you a curriculum that is based on creating career-ready, global enterprising graduates.
Studying at Coventry University London Campus, you can develop your professional and business skills through a whole range of experiences, from work-based learning in global organisations to our networking events with industry leaders. We are committed to helping you build and develop your career; your employability is our priority. All programmes include an internship or work-related activities to ensure that you gain a substantial insight into a real business.
Prospectuses
London Campus Prospectus 2014 - 2015
London Campus Course List 2014 *New*
Top Up Course Brochure
London Campus Mini Guide
London Campus Pre-Arrival Guide - part 1
London Campus Pre-Arrival Guide - part 2
London Campus Parents Guide",51.52,-0.08,http://www.coventry.ac.uk/londoncampus
University of Wolverhampton,"Established:  1992 The University of Wolverhampton is a British university located on four campuses across the West Midlands, Shropshire and Staffordshire. The city campus is located in Wolverhampton city centre, with a second campus at Walsall and a third in Telford. There is an additional fourth campus in Wolverhampton at the University of Wolverhampton Science Park. The university also operates a Health Education Centre in Burton-upon-Trent for nursing students.
The institution was known as Wolverhampton Polytechnic before gaining university status in 1992. Its roots lie in the 19th Century growth of the Wolverhampton Mechanics’ Institute (founded 1835); the Wolverhampton Free Library (1870); and the School of Art, established in 1851, which came together as the Wolverhampton and Staffordshire Technical College in 1931.
The university has seven academic schools/faculties and several cross-disciplinary research centres and institutes.
It has approximately 23,000 students and currently offers over 380 undergraduate and postgraduate courses.
The university is noted for its success in encouraging wider participation in higher education.",0,0,http://www.wlv.ac.uk/
Cranfield University,"Established:  1993 Cranfield University is a British postgraduate and research-based university specialising in science, engineering, technology and management. 
Cranfield University contains two campuses; the main campus is at Cranfield, Bedfordshire, and the second is the Defence Academy of the United Kingdom at Shrivenham, Oxfordshire. The main campus is unique in the United Kingdom for having an operational airport (Cranfield Airport) next to it. The airport facilities are used by Cranfield University's own aircraft in the course of aerospace teaching and research.",0,0,http://www.cranfield.ac.uk/
GCU London,"Established:  2010 GCU London is a postgraduate campus of Glasgow Caledonian University specialising in Banking and Finance, Risk Management, International Fashion Marketing, Luxury Brand Marketing, Tourism and Construction Management.
Based in Spitalfields, the centre offers a range of MBA and MSc courses. GCU is reportedly the first Scottish university to open a base in London",51.52,-0.07,http://www.gculondon.ac.uk/
University College Birmingham,"Established:  1957 University College Birmingham, is a university in Birmingham, England. It was awarded full University status in 2012 along with Newman University.
The university is located in central Birmingham and offers both vocational and academic education at both undergraduate and postgraduate level. The university specialises in the areas of hospitality and the culinary arts, hairdressing and beauty, tourism, business enterprise, marketing, business management, accounting, finance, events management, sports management, sports medicine, sports therapy and Early Years education.",52.48,-1.97,http://www.ucb.ac.uk/
London Business School,"Established:  1964 London Business School (LBS) is a business school and a constituent college of the University of London, located in central London, England. It was established in 1964, after the Franks Report recommended the establishment of two business schools.
LBS offers various academic programmes including the Masters of Business Administration (MBA and EMBA), Sloan Fellowship for experienced business executives (MSc), Masters in Finance (MiF), Masters in Management for students with up to two years of work experience (MiM), PhD, and non-masters classes for business executives.
Over 1,800 degree students from 130 countries graduate from the school each year. A further 7,400 executives attend the school executive education programmes each year. The school has over 35,000 alumni in more than 135 countries, organised through 65-plus alumni clubs.
The school holds the European Foundation for Management Development Equis, accreditation as well as that of the AACSB and AMBA. The MBA, Executive MBA, Sloan Masters in Leadership and Strategy, and Master's in Management programmes are accredited through AMBA.",0,0,http://www.london.edu/
BPP University,"Established:  1992 BPP University is a private university based in London dedicated to the study of business and the professions. The university is owned and run by BPP Holdings, a provider of professional and academic education that is part of the American higher education company Apollo Group which owns the Western International University in the USA, Universidad Latinoamericana in Mexico and University for the Arts, Sciences, and Communication in Chile.
In August 2013 BPP University College was awarded university status and changed its name to BPP University.BPP University awards a growing number of undergraduate and postgraduate courses at city-centre locations in the United Kingdom.
In November 2013 BPP won Education Investor magazine's ""Higher/Professional Education Provider of the Year 2013"" award. 
Also during 2013, BPP granted its 1,000th scholarship to promote diversity of access to the accountancy, finance and legal professions.
qualification; OR
(b) An acceptable professional qualification equivalent; OR
(c) A pass in the Graduate 
(d) An acceptable professional qualification equivalent such as the CMI, ILM at level 6 or above for MSc Accounting and Finance.Contact the UniWebsite:  www.bpp.com/bpp-universityEmail:  internationalstudents@bpp.comPhone:  +44 (0)20 7430 7065",0,0,http://www.bpp.com/bpp-university
Regent's University London,"Established:  1984 The university is arguably the most international of all universities in the UK with 15% of applicants from within the UK, 10% from the United States and the rest from all over the world. Through its programmes Regent's has a focused international-outreach initiative.
Regent's University London has its campus in Regent's Park, central London. It is one of the two largest groups of buildings in the park, along with the London Zoo, and was built on the site of South Villa, one of the original eight Regent's Park villas.
Regent's University London will tackle growth through four core elements: organic growth, growth by acquisition, development of an internationalisation strategy, and to a lesser degree development of a federal model. Student number is anticipated to reach 8,000 by 2020 by which time it hopes to be the leading private 'not for profit' university in Europe.
It is quoted in The New York Times (20th Jan 2013) that the University has ambitions to open campuses in Hong Kong, Eastern Europe and South America, and to acquire a design school as well as a law school.",0,0,http://www.regents.ac.uk/
